2023-10-09 15:56:09.240 | INFO     | __main__:<module>:29 - 🌲 Début de l'opération 🌲
2023-10-09 15:56:09.243 | INFO     | __main__:<module>:33 - 📂 Structure du dossier : C:\devReposit\ORBIT-FAST-DATA-LOADER
2023-10-09 15:56:09.245 | INFO     | __main__:<module>:36 - 📂 Affichage de l'arborescence dans le format YAML :

2023-10-09 15:56:09.246 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}
2023-10-09 15:56:09.246 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'logs': {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}}
2023-10-09 15:56:09.247 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}
2023-10-09 15:56:09.248 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'2023-10-08.log': 'File'}
2023-10-09 15:56:09.248 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}
2023-10-09 15:56:09.248 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}
2023-10-09 15:56:09.249 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'commands': {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}, 'index.js': 'File', 'index.js.map': 'File', 'logs': {'2023-10-08.log': 'File'}, 'package.json': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'utils': {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}}
2023-10-09 15:56:09.250 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}
2023-10-09 15:56:09.250 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'linux-installer.sh': 'File', 'windows-installer.ps1': 'File'}
2023-10-09 15:56:09.251 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}
2023-10-09 15:56:09.251 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'2023-10-08.log': 'File'}
2023-10-09 15:56:09.251 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}
2023-10-09 15:56:09.251 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'commands': {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}, 'index.ts': 'File', 'logs': {'2023-10-08.log': 'File'}, 'utils': {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}}
2023-10-09 15:56:09.252 | DEBUG    | arborescence_util:generer_arborescence_yaml:90 - 📂 Arborescence YAML : {'binaries': {'logs': {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}}, 'dist': {'commands': {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}, 'index.js': 'File', 'index.js.map': 'File', 'logs': {'2023-10-08.log': 'File'}, 'package.json': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'utils': {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}}, 'package.json': 'File', 'prompt.orbit.ini': 'File', 'README.md': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'setups': {'linux-installer.sh': 'File', 'windows-installer.ps1': 'File'}, 'src': {'commands': {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}, 'index.ts': 'File', 'logs': {'2023-10-08.log': 'File'}, 'utils': {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}}, 'TODO': 'File', 'tsconfig.json': 'File', 'yarn.lock': 'File'}
2023-10-09 15:56:21.952 | INFO     | __main__:<module>:29 - 🌲 Début de l'opération 🌲
2023-10-09 15:56:21.956 | INFO     | __main__:<module>:33 - 📂 Structure du dossier : C:\devReposit\ORBIT-FAST-DATA-LOADER
2023-10-09 15:56:21.958 | INFO     | __main__:<module>:36 - 📂 Affichage de l'arborescence dans le format JSON :

2023-10-09 15:56:21.959 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}
2023-10-09 15:56:21.959 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'logs': {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}}
2023-10-09 15:56:21.960 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}
2023-10-09 15:56:21.960 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'2023-10-08.log': 'File'}
2023-10-09 15:56:21.961 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}
2023-10-09 15:56:21.961 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}
2023-10-09 15:56:21.962 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'commands': {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}, 'index.js': 'File', 'index.js.map': 'File', 'logs': {'2023-10-08.log': 'File'}, 'package.json': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'utils': {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}}
2023-10-09 15:56:21.962 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}
2023-10-09 15:56:21.963 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'linux-installer.sh': 'File', 'windows-installer.ps1': 'File'}
2023-10-09 15:56:21.963 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}
2023-10-09 15:56:21.963 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'2023-10-08.log': 'File'}
2023-10-09 15:56:21.964 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}
2023-10-09 15:56:21.964 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'commands': {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}, 'index.ts': 'File', 'logs': {'2023-10-08.log': 'File'}, 'utils': {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}}
2023-10-09 15:56:21.964 | DEBUG    | arborescence_util:generer_arborescence_json:67 - 📂 Arborescence JSON : {'binaries': {'logs': {'2023-06-25.log': 'File', '2023-06-26.log': 'File'}}, 'dist': {'commands': {'export.js': 'File', 'export.js.map': 'File', 'import.js': 'File', 'import.js.map': 'File', 'install.js': 'File', 'install.js.map': 'File'}, 'index.js': 'File', 'index.js.map': 'File', 'logs': {'2023-10-08.log': 'File'}, 'package.json': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'utils': {'banner.js': 'File', 'banner.js.map': 'File', 'logger.js': 'File', 'logger.js.map': 'File', 'types.js': 'File', 'types.js.map': 'File'}}, 'package.json': 'File', 'prompt.orbit.ini': 'File', 'README.md': 'File', 'scripts': {'install-linux-deps.sh': 'File', 'install-windows-deps.ps1': 'File', 'msodbcsql.msi': 'File', 'mssqlcli-tools-setup.msi': 'File', 'pgsql-cli-options.md': 'File', 'postgresql-setup.exe': 'File'}, 'setups': {'linux-installer.sh': 'File', 'windows-installer.ps1': 'File'}, 'src': {'commands': {'export.ts': 'File', 'import.ts': 'File', 'install.ts': 'File'}, 'index.ts': 'File', 'logs': {'2023-10-08.log': 'File'}, 'utils': {'banner.ts': 'File', 'logger.ts': 'File', 'types.ts': 'File'}}, 'TODO': 'File', 'tsconfig.json': 'File', 'yarn.lock': 'File'}
2023-10-09 15:56:31.226 | INFO     | __main__:<module>:29 - 🌲 Début de l'opération 🌲
2023-10-09 15:56:31.229 | INFO     | __main__:<module>:33 - 📂 Structure du dossier : C:\devReposit\ORBIT-FAST-DATA-LOADER
